,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
188795,2223,T1,2022-09-04,Antalyaspor,Kasimpasa,0.0,2.0,A,0.0,1.0,A,15.0,13.0,6.0,7.0,14.0,20.0,8.0,3.0,2.0,5.0,1.0,0.0,1.78,3.76,4.97
188799,2223,T1,2022-09-04,Ankaragucu,Besiktas,2.0,3.0,A,1.0,2.0,A,7.0,11.0,2.0,6.0,13.0,19.0,2.0,1.0,4.0,1.0,1.0,0.0,4.42,3.67,1.88
188800,2223,T1,2022-09-04,Hatayspor,Ad. Demirspor,1.0,1.0,D,1.0,0.0,H,15.0,23.0,5.0,7.0,12.0,9.0,2.0,5.0,6.0,2.0,0.0,0.0,3.16,3.56,2.32
188849,2223,T1,2022-09-05,Galatasaray,Gaziantep,2.0,1.0,H,1.0,1.0,D,20.0,12.0,12.0,3.0,11.0,13.0,7.0,3.0,4.0,5.0,1.0,0.0,1.61,4.17,5.66
188862,2223,T1,2022-09-09,Alanyaspor,Ankaragucu,2.0,1.0,H,0.0,0.0,D,11.0,11.0,6.0,3.0,17.0,9.0,4.0,3.0,2.0,0.0,0.0,0.0,1.76,4.12,4.53
188870,2223,T1,2022-09-10,Karagumruk,Giresunspor,1.0,1.0,D,0.0,0.0,D,10.0,4.0,3.0,2.0,14.0,14.0,5.0,1.0,3.0,3.0,0.0,0.0,1.96,3.55,4.22
188881,2223,T1,2022-09-10,Konyaspor,Hatayspor,1.0,0.0,H,0.0,0.0,D,13.0,6.0,6.0,1.0,5.0,11.0,6.0,4.0,1.0,1.0,0.0,0.0,1.74,3.97,4.91
188938,2223,T1,2022-09-11,Sivasspor,Istanbulspor,1.0,1.0,D,0.0,0.0,D,13.0,6.0,5.0,4.0,10.0,10.0,9.0,1.0,2.0,3.0,0.0,0.0,1.8,3.95,4.51
188940,2223,T1,2022-09-11,Gaziantep,Umraniyespor,1.0,1.0,D,0.0,0.0,D,5.0,18.0,4.0,6.0,14.0,11.0,2.0,3.0,3.0,3.0,0.0,0.0,1.81,3.97,4.48
188941,2223,T1,2022-09-11,Kayserispor,Antalyaspor,1.0,0.0,H,0.0,0.0,D,9.0,10.0,3.0,3.0,13.0,9.0,3.0,2.0,2.0,2.0,0.0,0.0,2.61,3.34,2.9
188948,2223,T1,2022-09-11,Kasimpasa,Galatasaray,2.0,3.0,A,1.0,1.0,D,13.0,22.0,7.0,6.0,14.0,10.0,6.0,8.0,2.0,0.0,0.0,0.0,4.21,4.1,1.83
188974,2223,T1,2022-09-12,Besiktas,Buyuksehyr,0.0,1.0,A,0.0,0.0,D,21.0,7.0,2.0,1.0,9.0,11.0,5.0,4.0,3.0,5.0,0.0,0.0,2.0,3.47,4.04
188977,2223,T1,2022-09-12,Ad. Demirspor,Trabzonspor,3.0,2.0,H,1.0,1.0,D,18.0,12.0,6.0,4.0,12.0,13.0,2.0,3.0,3.0,4.0,0.0,0.0,2.26,3.69,3.12
189026,2223,T1,2022-09-16,Hatayspor,Kayserispor,0.0,4.0,A,0.0,2.0,A,16.0,9.0,4.0,6.0,9.0,12.0,8.0,3.0,0.0,1.0,1.0,0.0,2.28,3.37,3.41
189027,2223,T1,2022-09-16,Galatasaray,Konyaspor,2.0,1.0,H,1.0,1.0,D,18.0,19.0,5.0,5.0,14.0,13.0,6.0,4.0,4.0,4.0,0.0,1.0,1.75,3.87,5.02
189044,2223,T1,2022-09-17,Istanbulspor,Besiktas,2.0,2.0,D,1.0,2.0,A,8.0,8.0,2.0,5.0,14.0,18.0,3.0,5.0,1.0,3.0,0.0,0.0,5.71,4.61,1.56
